test	layer	head	upper	lower
sudoku	0	0	57555	2
sudoku	0	1	57555	2
sudoku	0	2	57555	2
sudoku	0	3	57555	2
sudoku	0	4	2	2
sudoku	0	5	3	2
sudoku	0	6	3	2
sudoku	0	7	1	1
sudoku	0	8	1	1
sudoku	0	9	1	1
sudoku	0	10	1	1
sudoku	0	11	1	1
sudoku	0	12	1	1
sudoku	0	13	1	1
sudoku	0	14	1	1
sudoku	0	15	1	1
sudoku	0	16	1	1
sudoku	0	17	1	1
sudoku	0	18	1	1
sudoku	0	19	1	1
sudoku	0	20	1	1
sudoku	0	21	1	1
sudoku	0	22	1	1
sudoku	0	23	1	1
sudoku	0	24	1	1
sudoku	0	25	1	1
sudoku	0	26	1	1
sudoku	0	27	1	1
sudoku	0	28	1	1
sudoku	0	29	1	1
sudoku	0	30	1	1
sudoku	0	31	1	1
sudoku	0	32	1	1
sudoku	0	33	1	1
sudoku	0	34	1	1
sudoku	0	35	1	1
sudoku	0	36	1	1
sudoku	0	37	1	1
sudoku	0	38	1	1
sudoku	0	39	1	1
sudoku	0	40	1	1
sudoku	0	41	1	1
sudoku	0	42	1	1
sudoku	0	43	1	1
sudoku	0	44	1	1
sudoku	0	45	1	1
sudoku	0	46	1	1
sudoku	0	47	1	1
sudoku	0	48	1	1
sudoku	0	49	1	1
sudoku	1	0	1	1
sudoku	1	1	1	1
sudoku	1	2	1	1
sudoku	1	3	1	1
sudoku	1	4	1	1
sudoku	1	5	1	1
sudoku	1	6	1	1
sudoku	1	7	1	1
sudoku	1	8	1	1
sudoku	1	9	1	1
sudoku	1	10	1	1
sudoku	1	11	1	1
sudoku	1	12	1	1
sudoku	1	13	1	1
sudoku	1	14	1	1
sudoku	1	15	1	1
sudoku	1	16	1	1
sudoku	1	17	1	1
sudoku	1	18	1	1
sudoku	1	19	1	1
sudoku	1	20	1	1
sudoku	1	21	1	1
sudoku	1	22	1	1
sudoku	1	23	1	1
sudoku	1	24	1	1
sudoku	1	25	1	1
sudoku	1	26	1	1
sudoku	1	27	1	1
sudoku	1	28	1	1
sudoku	1	29	1	1
sudoku	1	30	1	1
sudoku	1	31	1	1
sudoku	1	32	1	1
sudoku	1	33	1	1
sudoku	1	34	1	1
sudoku	1	35	1	1
sudoku	1	36	1	1
sudoku	1	37	1	1
sudoku	1	38	1	1
sudoku	1	39	1	1
sudoku	1	40	1	1
sudoku	1	41	1	1
sudoku	1	42	1	1
sudoku	1	43	1	1
sudoku	1	44	1	1
sudoku	1	45	1	1
sudoku	1	46	1	1
sudoku	1	47	1	1
sudoku	1	48	1	1
sudoku	1	49	1	1
sudoku	2	0	57555	2
sudoku	2	1	57555	2
sudoku	2	2	57555	2
sudoku	2	3	57555	2
sudoku	2	4	57555	2
sudoku	2	5	57555	2
sudoku	2	6	57555	2
sudoku	2	7	57555	2
sudoku	2	8	1	1
sudoku	2	9	1	1
sudoku	2	10	1	1
sudoku	2	11	1	1
sudoku	2	12	1	1
sudoku	2	13	1	1
sudoku	2	14	1	1
sudoku	2	15	1	1
sudoku	2	16	1	1
sudoku	2	17	1	1
sudoku	2	18	1	1
sudoku	2	19	1	1
sudoku	2	20	1	1
sudoku	2	21	1	1
sudoku	2	22	1	1
sudoku	2	23	1	1
sudoku	2	24	1	1
sudoku	2	25	1	1
sudoku	2	26	1	1
sudoku	2	27	1	1
sudoku	2	28	1	1
sudoku	2	29	1	1
sudoku	2	30	1	1
sudoku	2	31	1	1
sudoku	2	32	1	1
sudoku	2	33	1	1
sudoku	2	34	1	1
sudoku	2	35	1	1
sudoku	2	36	1	1
sudoku	2	37	1	1
sudoku	2	38	1	1
sudoku	2	39	1	1
sudoku	2	40	1	1
sudoku	2	41	1	1
sudoku	2	42	1	1
sudoku	2	43	1	1
sudoku	2	44	1	1
sudoku	2	45	1	1
sudoku	2	46	1	1
sudoku	2	47	1	1
sudoku	2	48	1	1
sudoku	2	49	1	1
sudoku	3	0	47	3
sudoku	3	1	4	2
sudoku	3	2	4	2
sudoku	3	3	4	2
sudoku	3	4	3	2
sudoku	3	5	3	2
sudoku	3	6	3	2
sudoku	3	7	3	2
sudoku	3	8	1	1
sudoku	3	9	1	1
sudoku	3	10	1	1
sudoku	3	11	1	1
sudoku	3	12	1	1
sudoku	3	13	1	1
sudoku	3	14	1	1
sudoku	3	15	1	1
sudoku	3	16	1	1
sudoku	3	17	1	1
sudoku	3	18	1	1
sudoku	3	19	1	1
sudoku	3	20	1	1
sudoku	3	21	1	1
sudoku	3	22	1	1
sudoku	3	23	1	1
sudoku	3	24	1	1
sudoku	3	25	1	1
sudoku	3	26	1	1
sudoku	3	27	1	1
sudoku	3	28	1	1
sudoku	3	29	1	1
sudoku	3	30	1	1
sudoku	3	31	1	1
sudoku	3	32	1	1
sudoku	3	33	1	1
sudoku	3	34	1	1
sudoku	3	35	1	1
sudoku	3	36	1	1
sudoku	3	37	1	1
sudoku	3	38	1	1
sudoku	3	39	1	1
sudoku	3	40	1	1
sudoku	3	41	1	1
sudoku	3	42	1	1
sudoku	3	43	1	1
sudoku	3	44	1	1
sudoku	3	45	1	1
sudoku	3	46	1	1
sudoku	3	47	1	1
sudoku	3	48	1	1
sudoku	3	49	1	1
sudoku	4	0	57555	2
sudoku	4	1	57555	2
sudoku	4	2	57555	2
sudoku	4	3	1256	4
sudoku	4	4	1	1
sudoku	4	5	1	1
sudoku	4	6	1	1
sudoku	4	7	1	1
sudoku	4	8	1	1
sudoku	4	9	1	1
sudoku	4	10	1	1
sudoku	4	11	1	1
sudoku	4	12	1	1
sudoku	4	13	1	1
sudoku	4	14	1	1
sudoku	4	15	1	1
sudoku	4	16	1	1
sudoku	4	17	1	1
sudoku	4	18	1	1
sudoku	4	19	1	1
sudoku	4	20	1	1
sudoku	4	21	1	1
sudoku	4	22	1	1
sudoku	4	23	1	1
sudoku	4	24	1	1
sudoku	4	25	1	1
sudoku	4	26	1	1
sudoku	4	27	1	1
sudoku	4	28	1	1
sudoku	4	29	1	1
sudoku	4	30	1	1
sudoku	4	31	1	1
sudoku	4	32	1	1
sudoku	4	33	1	1
sudoku	4	34	1	1
sudoku	4	35	1	1
sudoku	4	36	1	1
sudoku	4	37	1	1
sudoku	4	38	1	1
sudoku	4	39	1	1
sudoku	4	40	1	1
sudoku	4	41	1	1
sudoku	4	42	1	1
sudoku	4	43	1	1
sudoku	4	44	1	1
sudoku	4	45	1	1
sudoku	4	46	1	1
sudoku	4	47	1	1
sudoku	4	48	1	1
sudoku	4	49	1	1
sudoku	5	0	1	1
sudoku	5	1	1	1
sudoku	5	2	1	1
sudoku	5	3	1	1
sudoku	5	4	1	1
sudoku	5	5	1	1
sudoku	5	6	1	1
sudoku	5	7	1	1
sudoku	5	8	1	1
sudoku	5	9	1	1
sudoku	5	10	1	1
sudoku	5	11	1	1
sudoku	5	12	1	1
sudoku	5	13	1	1
sudoku	5	14	1	1
sudoku	5	15	1	1
sudoku	5	16	1	1
sudoku	5	17	1	1
sudoku	5	18	1	1
sudoku	5	19	1	1
sudoku	5	20	1	1
sudoku	5	21	1	1
sudoku	5	22	1	1
sudoku	5	23	1	1
sudoku	5	24	1	1
sudoku	5	25	1	1
sudoku	5	26	1	1
sudoku	5	27	1	1
sudoku	5	28	1	1
sudoku	5	29	1	1
sudoku	5	30	1	1
sudoku	5	31	1	1
sudoku	5	32	1	1
sudoku	5	33	1	1
sudoku	5	34	1	1
sudoku	5	35	1	1
sudoku	5	36	1	1
sudoku	5	37	1	1
sudoku	5	38	1	1
sudoku	5	39	1	1
sudoku	5	40	1	1
sudoku	5	41	1	1
sudoku	5	42	1	1
sudoku	5	43	1	1
sudoku	5	44	1	1
sudoku	5	45	1	1
sudoku	5	46	1	1
sudoku	5	47	1	1
sudoku	5	48	1	1
sudoku	5	49	1	1
sudoku	6	0	1	1
sudoku	6	1	1	1
sudoku	6	2	1	1
sudoku	6	3	1	1
sudoku	6	4	1	1
sudoku	6	5	1	1
sudoku	6	6	1	1
sudoku	6	7	1	1
sudoku	6	8	1	1
sudoku	6	9	1	1
sudoku	6	10	1	1
sudoku	6	11	1	1
sudoku	6	12	1	1
sudoku	6	13	1	1
sudoku	6	14	1	1
sudoku	6	15	1	1
sudoku	6	16	1	1
sudoku	6	17	1	1
sudoku	6	18	1	1
sudoku	6	19	1	1
sudoku	6	20	1	1
sudoku	6	21	1	1
sudoku	6	22	1	1
sudoku	6	23	1	1
sudoku	6	24	1	1
sudoku	6	25	1	1
sudoku	6	26	1	1
sudoku	6	27	1	1
sudoku	6	28	1	1
sudoku	6	29	1	1
sudoku	6	30	1	1
sudoku	6	31	1	1
sudoku	6	32	1	1
sudoku	6	33	1	1
sudoku	6	34	1	1
sudoku	6	35	1	1
sudoku	6	36	1	1
sudoku	6	37	1	1
sudoku	6	38	1	1
sudoku	6	39	1	1
sudoku	6	40	1	1
sudoku	6	41	1	1
sudoku	6	42	1	1
sudoku	6	43	1	1
sudoku	6	44	1	1
sudoku	6	45	1	1
sudoku	6	46	1	1
sudoku	6	47	1	1
sudoku	6	48	1	1
sudoku	6	49	1	1
